x;y;z;p
0.23666;0.12631;0;-0.8313791213
0.2387557169;0.1264993305;0;-0.8313791213
0.2387557169;0.1264993305;1;-0.8313791213
0.23666;0.12631;1;-0.8313791213
0.2409989127;0.1267048904;0;-0.8131982481
0.2409989127;0.1267048904;1;-0.8131982481
0.2433993444;0.126926574;0;-0.810691402
0.2433993444;0.126926574;1;-0.810691402
0.2459672039;0.127163691;0;-0.8081368387
0.2459672039;0.127163691;1;-0.8081368387
0.2487130743;0.1274147772;0;-0.8063126942
0.2487130743;0.1274147772;1;-0.8063126942
0.2516478627;0.1276773764;0;-0.8052484928
0.2516478627;0.1276773764;1;-0.8052484928
0.2547826999;0.1279477993;0;-0.8039989301
0.2547826999;0.1279477993;1;-0.8039989301
0.2581287617;0.1282214956;0;-0.8018117256
0.2581287617;0.1282214956;1;-0.8018117256
0.2616967289;0.1285016662;0;-0.7962665301
0.2616967289;0.1285016662;1;-0.7962665301
0.2654979913;0.1287889089;0;-0.7919084217
0.2654979913;0.1287889089;1;-0.7919084217
0.2695443665;0.1290813217;0;-0.7878362399
0.2695443665;0.1290813217;1;-0.7878362399
0.2738478699;0.1293764859;0;-0.7834002412
0.2738478699;0.1293764859;1;-0.7834002412
0.2784206554;0.1296713818;0;-0.7786392948
0.2784206554;0.1296713818;1;-0.7786392948
0.2832748009;0.1299631884;0;-0.7732128649
0.2832748009;0.1299631884;1;-0.7732128649
0.2884220555;0.1302501296;0;-0.7669944364
0.2884220555;0.1302501296;1;-0.7669944364
0.293874215;0.1305304332;0;-0.7605136291
0.293874215;0.1305304332;1;-0.7605136291
0.2996431838;0.1308022648;0;-0.7538948611
0.2996431838;0.1308022648;1;-0.7538948611
0.3057408059;0.1310616343;0;-0.7473770152
0.3057408059;0.1310616343;1;-0.7473770152
0.3121782273;0.131304535;0;-0.7405356927
0.3121782273;0.131304535;1;-0.7405356927
0.3189663966;0.1315278801;0;-0.7334364804
0.3189663966;0.1315278801;1;-0.7334364804
0.3261161691;0.1317281741;0;-0.7264779265
0.3261161691;0.1317281741;1;-0.7264779265
0.3336375146;0.1318996472;0;-0.7198215249
0.3336375146;0.1318996472;1;-0.7198215249
0.3415398857;0.1320343299;0;-0.7132636955
0.3415398857;0.1320343299;1;-0.7132636955
0.349832285;0.132124326;0;-0.7063520079
0.349832285;0.132124326;1;-0.7063520079
0.3585223817;0.1321633129;0;-0.6991086597
0.3585223817;0.1321633129;1;-0.6991086597
0.3676172438;0.1321438144;0;-0.6918870798
0.3676172438;0.1321438144;1;-0.6918870798
0.3771229282;0.1320579437;0;-0.6848786737
0.3771229282;0.1320579437;1;-0.6848786737
0.387043771;0.1318893259;0;-0.6783848102
0.387043771;0.1318893259;1;-0.6783848102
0.397382667;0.131625855;0;-0.6708239237
0.397382667;0.131625855;1;-0.6708239237
0.4081402677;0.1312519614;0;-0.6631281932
0.4081402677;0.1312519614;1;-0.6631281932
0.419315062;0.1307530195;0;-0.6544633313
0.419315062;0.1307530195;1;-0.6544633313
0.4309025914;0.1301105645;0;-0.6452243994
0.4309025914;0.1301105645;1;-0.6452243994
0.4428952788;0.1293077767;0;-0.6345236617
0.4428952788;0.1293077767;1;-0.6345236617
0.4552825514;0.1283322132;0;-0.6222268656
